S.No,Ellapsed,Time,Reading
289,4.46197053,11-36-44-4663,324
290,4.470459077,11-36-44-4747,326
291,4.482722893,11-36-44-4870,324
292,4.490626171,11-36-44-4949,326
293,4.503351017,11-36-44-5076,324
294,4.511149738,11-36-44-5154,326
295,4.523426878,11-36-44-5277,323
296,4.531642938,11-36-44-5359,325
297,4.543880792,11-36-44-5482,323
298,4.552362193,11-36-44-5566,325
299,4.56028986,11-36-44-5646,323
300,4.572612414,11-36-44-5769,325
301,4.580890407,11-36-44-5852,322
302,4.593008419,11-36-44-5973,325
303,4.601541289,11-36-44-6058,322
304,4.613689707,11-36-44-6180,324
305,4.621800475,11-36-44-6261,322
306,4.630014498,11-36-44-6343,324
307,4.642255457,11-36-44-6465,322
308,4.650367156,11-36-44-6547,324
309,4.662812644,11-36-44-6671,322
310,4.671065122,11-36-44-6753,324
311,4.683461259,11-36-44-6877,321
312,4.691323757,11-36-44-6956,324
313,4.703724276,11-36-44-7080,321
314,4.711798336,11-36-44-7161,323
315,4.720340481,11-36-44-7246,321
316,4.732479903,11-36-44-7368,323
317,4.740489739,11-36-44-7448,321
318,4.753082693,11-36-44-7573,323
319,4.760977608,11-36-44-7653,320
320,4.773256525,11-36-44-7775,323
321,4.781557707,11-36-44-7858,320
322,4.793725481,11-36-44-7980,322
323,4.802058366,11-36-44-8063,320
324,4.814239084,11-36-44-8185,322
325,4.822491928,11-36-44-8268,320
326,4.834865027,11-36-44-8391,322
327,4.842805322,11-36-44-8471,320
328,4.85138052,11-36-44-8556,322
329,4.863526618,11-36-44-8678,320
330,4.871616207,11-36-44-8759,322
331,4.884146199,11-36-44-8884,320
332,4.892102243,11-36-44-8964,322
333,4.904490691,11-36-44-9088,320
334,4.912481704,11-36-44-9168,322
335,4.924859522,11-36-44-9291,320
336,4.933117866,11-36-44-9374,322
337,4.941260157,11-36-44-9455,319
338,4.953722266,11-36-44-9580,321
339,4.961584707,11-36-44-9659,319
340,4.973942723,11-36-44-9782,321
341,4.982432604,11-36-44-9867,319
342,4.994368772,11-36-44-9986,321
343,5.002902648,11-36-45-0072,319
344,5.015071805,11-36-45-0193,320
345,5.023153082,11-36-45-0274,319
346,5.035691532,11-36-45-0399,320
347,5.043566303,11-36-45-0478,319
348,5.055916398,11-36-45-0602,320
349,5.064270471,11-36-45-0685,318
350,5.076248811,11-36-45-0805,320
351,5.084808834,11-36-45-0891,318
352,5.096779527,11-36-45-1011,320
353,5.105043144,11-36-45-1093,318
354,5.113275669,11-36-45-1176,320
355,5.125494334,11-36-45-1298,318
356,5.133839077,11-36-45-1381,319
357,5.145949116,11-36-45-1502,318
358,5.154487421,11-36-45-1587,319
359,5.166550728,11-36-45-1708,317
360,5.174636846,11-36-45-1789,319
361,5.187218571,11-36-45-1914,317
362,5.19516744,11-36-45-1994,319
363,5.203615288,11-36-45-2079,317
364,5.215822241,11-36-45-2201,319
365,5.223763002,11-36-45-2280,317
366,5.236374814,11-36-45-2406,319
367,5.244209291,11-36-45-2485,317
368,5.25666145,11-36-45-2609,318
369,5.264892213,11-36-45-2692,317
370,5.2730217,11-36-45-2773,318
371,5.285508455,11-36-45-2898,316
372,5.293569202,11-36-45-2978,318
373,5.305840439,11-36-45-3101,316
374,5.31415285,11-36-45-3184,317
375,5.326257794,11-36-45-3305,316
376,5.334685107,11-36-45-3389,317
377,5.346781687,11-36-45-3511,316
378,5.354940734,11-36-45-3592,316
379,5.367489732,11-36-45-3717,315
380,5.375321015,11-36-45-3796,316
381,5.38778347,11-36-45-3921,315
382,5.396006422,11-36-45-4003,315
383,5.4041082,11-36-45-4084,314
384,5.416587641,11-36-45-4208,315
385,5.424425977,11-36-45-4287,313
386,5.437169786,11-36-45-4414,314
387,5.445239901,11-36-45-4495,313
388,5.457256677,11-36-45-4615,313
389,5.465746505,11-36-45-4700,312
390,5.477835575,11-36-45-4821,313
391,5.486242929,11-36-45-4905,312
392,5.498531558,11-36-45-5028,312
393,5.506415721,11-36-45-5107,312
394,5.518976374,11-36-45-5232,311
395,5.526916088,11-36-45-5312,311
396,5.535395455,11-36-45-5397,310
397,5.547535669,11-36-45-5518,310
398,5.555616643,11-36-45-5599,310
399,5.568098168,11-36-45-5724,310
400,5.576037362,11-36-45-5803,310
401,5.58837538,11-36-45-5926,310
402,5.596529243,11-36-45-6008,309
403,5.608797947,11-36-45-6131,310
404,5.617304981,11-36-45-6216,310
405,5.62522986,11-36-45-6295,310
406,5.63774722,11-36-45-6420,310
407,5.645878122,11-36-45-6502,311
408,5.657941693,11-36-45-6622,311
409,5.666416672,11-36-45-6707,311
410,5.678445528,11-36-45-6827,311
411,5.686823762,11-36-45-6911,312
412,5.69918974,11-36-45-7034,312
413,5.70708249,11-36-45-7114,313
414,5.71531599,11-36-45-7196,313
415,5.727738148,11-36-45-7320,314
416,5.73604075,11-36-45-7403,313
417,5.748187051,11-36-45-7525,313
418,5.756222844,11-36-45-7605,313
419,5.768699311,11-36-45-7730,314
420,5.776743331,11-36-45-7810,313
421,5.784838058,11-36-45-7891,314
422,5.797192799,11-36-45-8015,314
423,5.805362816,11-36-45-8096,315
424,5.817918845,11-36-45-8222,314
425,5.825889981,11-36-45-8302,315
426,5.838217262,11-36-45-8425,314
427,5.846464318,11-36-45-8507,315
428,5.858674539,11-36-45-8629,313
429,5.86710491,11-36-45-8714,315
430,5.879106972,11-36-45-8834,313
431,5.887380898,11-36-45-8917,314
432,5.899744637,11-36-45-9040,312
433,5.907818186,11-36-45-9121,314
434,5.916285478,11-36-45-9205,312
435,5.928250501,11-36-45-9325,313
436,5.936622496,11-36-45-9409,311
437,5.949108179,11-36-45-9534,313
438,5.956903852,11-36-45-9612,311
439,5.969506141,11-36-45-9738,312
440,5.977530167,11-36-45-9818,311
441,5.98983347,11-36-45-9941,312
442,5.997960839,11-36-46-0022,310
443,6.010257365,11-36-46-0145,312
444,6.018575282,11-36-46-0228,310
445,6.030772662,11-36-46-0350,312
446,6.038955027,11-36-46-0432,310
447,6.05121801,11-36-46-0555,312
